book_id,average_number_of_adjectives,total_number_of_proper_nouns,total_number_of_adjectives,average_verb_phrases,total_number_of_noun_phrases,average_words,total_number_of_prepositional_phrases,average_syllables,total_number_of_verb_phrases,total_number_of_conjunctions,average_word_length,count_number_unique_words,length_of_document,average_number_of_common_proper_nouns,total_number_of_common_and_proper_nouns,ratio_of_common_to_proper_nouns,average_number_of_proper_nouns,average_number_of_conjunctions,average_prepositional_phrases,average_noun_phrases
4715,1.023565350207288,4800,4691,0.00196377918394065,50.0,17.69997818023129,22.0,1.385877537938091,9.0,10389,3.838582822766553,7540,375364,3.373772638010037,15462,2.22125,1.04734889810168,2.266855771328824,0.0048003491162993675,0.010909884355225835
706,0.8891280947255114,1968,3304,0.022335844994617868,168.0,17.349300322927878,60.0,1.2772297192492632,83.0,8412,3.5507988211571275,5982,281703,2.8194294940796554,10477,4.3236788617886175,0.5296017222820237,2.263724434876211,0.016146393972012917,0.04520990312163617
707,1.1580683863227355,1937,3861,0.009298140371925615,79.0,19.894421115776844,31.0,1.2896061994934267,31.0,9393,3.6052798214931854,6412,295502,3.20995800839832,10702,4.525038719669592,0.5809838032393522,2.8173365326934614,0.009298140371925615,0.023695260947810437
2098,1.0915586133897857,2038,4125,0.016141836464673195,146.0,20.00105848107965,58.0,1.2981451100762067,61.0,10999,3.6472136960203216,6828,340616,3.3125165387668694,12518,5.142296368989205,0.5392961100820323,2.910558348769516,0.015347975654935168,0.03863455940725059
11153,1.2193020249892288,1555,2830,0.02068074105988798,170.0,20.088754847048687,69.0,1.3140093510058766,48.0,6294,3.6456054561832456,4623,208031,3.122791900043085,7248,3.6610932475884246,0.6699698405859543,2.7117621714778113,0.02972856527358897,0.07324429125376992
1703,1.0807660283097418,1455,3894,0.01054676658340272,89.0,18.702192617263393,39.0,1.276920337172029,38.0,9170,3.569437848747477,6173,296070,2.971690258118235,10707,6.358762886597938,0.4038301415487094,2.5451013044684987,0.010824313072439634,0.02470163752428532
4014,0.5244324161780184,5241,3488,0.03773868591189295,646.0,13.719440685611186,223.0,1.2842911625460285,251.0,10051,3.5895800455900404,5256,394270,2.470605923921215,16432,2.135279526807861,0.7880018042399639,1.5112013231093069,0.03352879266275748,0.0971282513907683
6133,0.7552383145291274,2838,3280,0.007137923094635045,106.0,15.463043978816486,42.0,1.3830186431592113,31.0,8157,3.8173208648519865,5897,311905,3.002072300253281,13038,3.5940803382663846,0.6534653465346535,1.8781947962238084,0.009670734515311996,0.024407091871977895
4017,0.8120456905503635,4363,3910,0.004153686396677051,63.0,16.980893042575286,23.0,1.3510879003950442,20.0,10525,3.7765370644423517,6786,375444,3.41079958463136,16423,2.7641531056612423,0.9061266874350986,2.185877466251298,0.004776739356178609,0.013084112149532711
1563,0.688953488372093,4109,4029,0.01966484268125855,264.0,15.8640560875513,94.0,1.33604604788031,115.0,11606,3.729414808187727,6632,418602,2.893296853625171,16920,3.1177902165977125,0.7026333789329685,1.984610123119015,0.016073871409028728,0.04514363885088919
13058,0.7392490035661842,8538,7048,0.0023075309418921753,95.0,16.300188797986156,21.0,1.3513377861858615,22.0,19833,3.787775246772969,8246,713952,3.1894273127753303,30408,2.561489810260014,0.8955317809943361,2.080239144115796,0.0022026431718061676,0.009964338158170757
19142,1.208235294117647,3939,5135,0.01647058823529412,151.0,21.096235294117648,52.0,1.373526360989973,70.0,12194,3.871524331076635,8148,424350,4.156941176470588,17667,3.485148514851485,0.9268235294117647,2.8691764705882354,0.01223529411764706,0.035529411764705886
1182,0.8893286426267957,7554,6067,0.009967751392553504,170.0,15.932864262679566,63.0,1.3952196073380316,68.0,13281,3.8925239663642888,8933,508830,3.4626209322779244,23622,2.1270849880857825,1.1072999120492524,1.9467897977132806,0.009234828496042216,0.024919378481383758
1159,0.8988837820091924,4497,4107,0.0008754650908295032,24.0,17.027796016633836,2.0,1.401478149100257,4.0,9602,3.9051028277634963,6506,366217,3.3786386517837603,15437,2.4327329330664886,0.9842416283650689,2.101553950536222,0.0004377325454147516,0.005252790544977019
18613,0.8596627253343672,4827,4435,0.0025198681915099825,66.0,16.373522000387673,20.0,1.3804856104461887,13.0,10756,3.864012501331818,7304,394703,3.300251986819151,17026,2.527242593743526,0.9356464431091297,2.084900174452413,0.0038767202946307423,0.01279317697228145
173,0.8768218983291859,3919,4933,0.0005332385353714896,18.0,15.963384287237824,6.0,1.3569424340273912,3.0,11315,3.804086404632001,7660,416034,3.0927835051546393,17400,3.43990813983159,0.6965872733736225,2.0111980092428015,0.001066477070742979,0.003199431212228937
